title_line
12619223	中文名称隋仁寿宫唐九成宫遗址外文名称The Sui palace of Renshou Jiucheng Palace Ruins地理位置陕西省麟游县气候类型温带大陆性气候占地面积42.4万平方米景点级别国家重点文物保护单位门票价格 碑亭10元，唐井遗址5元著名景点 碑亭、唐井遗址、排云殿遗址年代隋开皇十三年（593 年）保护批次第四批全国重点文物保护单位批准单位国务院; 隋仁寿宫唐九成宫遗址位于陕西省麟游县新城区杜水、栗水、北马坊河交汇处。始建于隋开皇十三年（593年），初称仁寿宫。唐贞观五年（631年）扩建，改称九成宫，并置禁苑、武库及官寺。遗址东西长1010米，南北宽300米，城墙长448米，残高3-4米。有夯筑宫殿台基、阙门基址、石柱础、石砌水井、石砌水渠及唐“九成宫醴泉铭碑”和“万年铭碑”等，其上图案都磨研、雕刻得异常精致，为研究隋唐建筑史提供了宝贵的资料。 遗址景观九成宫，“九成”者“九重”或“九层”之意，言其高大，在麟游县城内。原是隋文帝时建的，名仁寿宫。唐太宗贞观五年（公元631年）修复，更名九成宫。唐高宗时一度改名万年宫，后又恢复原名。。“十一五”期间主要保护内容：制定隋仁寿宫唐九成宫遗址保护规划，对主要重点的文物及变化区实施保护措施，加固37 号宫殿遗址的四周土体，防止其塌落，造成遗址的破坏。同时对遗址进行回填，加固并部分进行复原展示。隋仁寿宫唐九成宫遗址遍布于麟游县城内，范围面积很大，城市建设和发展对文物遗址的破坏和威胁极大。但由于没有整个隋仁寿宫唐九成宫遗址保护规划，建设性破坏日趋严重。九成宫37号宫殿遗址夯土台基东、南断面高8米处，随时有倒塌的危险。遗址裸露，风雨侵蚀，风化已脱落。 隋仁寿宫唐九成宫遗址	1
18211648	中文名称HP之黑金守护作者Glambert_虞连载平台晋江文学网; 《HP之黑金守护》是Glambert_虞创作的网络小说，发表于晋江文学网。 作者Glambert_虞作品简介【有时候，看着天真的你、胆小的你、极度渴望被你爱的人宠爱的你，我如何开口，告诉你纵使我有着改变一切的力量，我也不过是这场可笑闹剧的旁观者？】本该抽身离去，我却甘愿为你散去半身魔力只求护你和你的家族安全；他告诉我可以有一个重来的机会，那么我到底该怎么面对你？Draco Malfoy，你告诉我......（人物属于JKR，故事属于我。最近还在写HP的人好像真的不是很多了？其实这只是一个很奇怪的脑洞啦，关于我最喜欢的两个人，Draco Malfoy和Severus Snape，不否认电影给我的影响太深刻了。想试着能不能给他们完全不一样的一种方式。对于小龙来说，不管从小的教育怎么说，他才11岁，青少年时期才是最关键的；而教授，他需要的只是一个人无条件地对他好罢了。人物OOC了吧，应该......尽管嫌弃） HP之黑金守护	6
18487910	中文名称异界之浅辰剑魔作者果仁大盗类型网络小说连载平台17K小说网; 《异界之浅辰剑魔》是果仁大盗创作的网络小说，发表于17K小说网。 作品简介零轩热衷于海贼王里的索隆，天天都想模仿他，一次奇迹，他穿越到了浅辰大陆—浅辰204年并且天赋和体质全部是天才的几十倍，他还遇到一位基友和两位女孩，然后他又知道了这个世界还有自己喜欢的职业—剑客，他将一步一步的爬上去，成为最后的王者！！！ 异界之浅辰剑魔	6
5901426	温滑，读音为wēn huá，是一个汉语词语，意思是温润光滑。 词语信息中文：温滑发音：wēn huá词语释义温润光滑。 前蜀 杜光庭 《录异记·异石》：“ 会稽 进士 李眺 ，偶拾得小石，青黑平正，温滑可翫，用为书镇焉。” 温滑	5
18179276	中文名称微雨过后源来是你作者最初级的heart恋爱连载平台小说阅读网小说类型网络小说; 《微雨过后源来是你》是最初级的heart恋爱创作的网络小说，发表于小说阅读网。 作品简介想知道一位普通的四叶草怎样变成明星的吗？想知道她和tfboys有什么关系吗？想知道她的未来将如何吗？请点进O(∩_∩)O~ 微雨过后源来是你	6
17875918	中文名称逆仙佛作者醉里叹尘类型网络小说连载平台起点网; 《逆仙佛》是醉里叹尘创作的网络小说，发表于起点网。 作品简介当佛，有了欲； 当仙，生了妄； 当神，现了贪； …… 真佛已死，仙道已断！ “传本尊命令，封锁太阳系！” 逆仙佛	6
17697319	中文名称贵族校园公主的邪魅王子作者唯沐ｍ类型校园连载平台起点网; 《贵族校园公主的邪魅王子》是唯沐m创作的网络小说，发表于起点网。 天空，是纯净的蓝，没有丝毫瑕疵。 云朵在风的吹动下，随处飘摇，与天空嬉戏。 可是，云朵终究要离开，她们会化作雨点，散落大地。 天空，永远不缺少玩伴，但他依旧是孤独的。 没有人，会永远陪伴着他。 美好就如过眼云烟般成为回忆，一笑而过的美丽变成至深的伤痛。 闭上双眼，脑中莫名地漂浮着一片海。 他们，应该是同类吧。 同样的蓝，同样的一望无垠，同样的寂寞，同样的……许多的同样，编织着他们的故事。 当他们交汇于地平线，不知道那会不会是幸福的尽头呢？ 贵族校园公主的邪魅王子	6
3104470	中文名东亚世纪城Ⅲ期建筑类型高层邮政编码14010行政区域昆都仑区; 东亚世纪城Ⅲ期是住宅小区，位于包头市，开发商是包头东亚信华投资有限公司 基本信息项目位置：黄河路与林荫南路交汇处物业类别：住宅 底店开发商：包头东亚信华投资有限公司投资商：包头东亚信华投资有限公司物业公司：包头东亚时代物管中心物业费：1.5元/月/平米楼盘特色：教育社区,品牌地产,城市豪宅详细信息产权年限：70年产权类型：大产权房竣工时间：2011年10月30日容积率：2.76绿化率：35%得房率：82%饮用水：直饮水，自来水总户数：3423建筑面积：1200000平方米占地面积：467460平方米基本参数：总建筑面积120000平方米，总占地面积467460平方米，容积率2.76，绿化率35%，得房率82%，规划总户数3423户，物业费1.5元/月/平米配套信息车位费：98000/个车位数：40000车位配比：1:0.7采暖方式：集中供热采暖费：3.5元/月/平米 东亚世纪城Ⅲ期	1
8165202	书名全新高考英语语法、词汇模拟卷又名高考凯旋门ISBN7807414502, 9787807414506页数160页出版社文汇出版社出版时间2008年11月1日开本16; 《全新高考英语语法、词汇模拟卷》是2008年11月1日文汇出版社出版的图书。 内容简介《全新高考英语语法、词汇模拟卷》围绕现行高中教材，紧扣高考大纲要求编写，共收入了25个单元2500道全真语法及词汇选择题，都是从上海及全国最新英语高考卷和模拟试卷的语法、词汇题目中精挑汇编而成的。《全新高考英语语法、词汇模拟卷》针对此部分的题型特点以及经常考察的知识要点，几乎包括了全部高中阶段重要语法、词汇考点，并加强了语言的交际功能，突出了动词的灵活运用和相似词汇的横向比较。书后还附有全部答案和对重点难点题的必要解释，因此针对性、典型性更为突出。《全新高考英语语法、词汇模拟卷》的每套练习都由长期奋战在高三第一线的资深教师编写，同时听取了诸多重点教师的意见并经过专家组的最后审定，因此具有较高的权威性和可信度。高考题目虽然年年会变，但语法和词汇的知识要点却万变不离其宗，因此在关键阶段找到一本针对性强、涵盖面广、模拟性高的书来做，却是十分必要和迫切的。编者希望学生通过做这《全新高考英语语法、词汇模拟卷》的精选题，核对答案，记住要领，反复推敲并钻研知识要点，定能在该项目取得高分，助你在成功之路上更上一个台阶。目录高考英语语法、词汇模拟卷一高考英语语法、词汇模拟卷二高考英语语法、词汇模拟卷三高考英语语法、词汇模拟卷四高考英语语法、词汇模拟卷五高考英语语法、词汇模拟卷六高考英语语法、词汇模拟卷七高考英语语法、词汇模拟卷八高考英语语法、词汇模拟卷九高考英语语法、词汇模拟卷十高考英语语法、词汇模拟卷十一高考英语语法、词汇模拟卷十二高考英语语法、词汇模拟卷十三高考英语语法、词汇模拟卷十四高考英语语法、词汇模拟卷十五高考英语语法、词汇模拟卷十六高考英语语法、词汇模拟卷十七高考英语语法、词汇模拟卷十八高考英语语法、词汇模拟卷十九高考英语语法、词汇模拟卷二十高考英语语法、词汇模拟卷二十一高考英语语法、词汇模拟卷二十二高考英语语法、词汇模拟卷二十三高考英语语法、词汇模拟卷二十四高考英语语法、词汇模拟卷二十五答案 全新高考英语语法、词汇模拟卷	5
7113373	中文名群龙戏牡丹主要食材大对虾，蛋黄糕口味造型美观，色泽鲜艳，口味酸甜配料精盐、白糖、白醋等; 原料大对虾10只、蛋黄糕、番茄沙司、精盐、白糖、白醋等。制作方法将蛋黄糕雕成牡丹花状，装在盘的一边，大对虾制成龙的形状，炸制成熟， 用番茄沙司、精盐、白糖、白醋加水、油，勾芡制成茄汁，浇淋在“群龙”上，装盘即可。特色造型美观，色泽鲜艳，口味酸甜。 群龙戏牡丹	2
